"seed","phi","sample_size","model","equation","parameter","value"
12,0,1000,"Strict","ES","Intercept",0.141920281801398
12,0,1000,"Strict","ES","Slope",1.13949128081857
13,0,1000,"Auxiliary","Q","Intercept",0.0546643760651095
13,0,1000,"Auxiliary","Q","Slope",1.0586791284031
13,0,1000,"Auxiliary","ES","Intercept",-0.0247938076365202
13,0,1000,"Auxiliary","ES","Slope",0.958671996877705
13,0,1000,"Strict","Q","Intercept",0.0546678044678921
13,0,1000,"Strict","Q","Slope",0.887574154020674
13,0,1000,"Strict","ES","Intercept",-0.0240423736366271
13,0,1000,"Strict","ES","Slope",0.959278185528224
14,0,1000,"Auxiliary","Q","Intercept",-0.0616647334164631
14,0,1000,"Auxiliary","Q","Slope",0.958917264764829
14,0,1000,"Auxiliary","ES","Intercept",-0.2661604377434
14,0,1000,"Auxiliary","ES","Slope",0.74637598478184
14,0,1000,"Strict","Q","Intercept",-0.061667063108936
14,0,1000,"Strict","Q","Slope",0.803933825724399
14,0,1000,"Strict","ES","Intercept",-0.265619475868599
14,0,1000,"Strict","ES","Slope",0.746852749643758
15,0,1000,"Auxiliary","Q","Intercept",0.0822223108124154
15,0,1000,"Auxiliary","Q","Slope",1.16681234307794
15,0,1000,"Auxiliary","ES","Intercept",-0.194942863813738
15,0,1000,"Auxiliary","ES","Slope",0.85856530267571
15,0,1000,"Strict","Q","Intercept",0.0821916552678477
15,0,1000,"Strict","Q","Slope",0.978210971113221
15,0,1000,"Strict","ES","Intercept",-0.191743129320223
15,0,1000,"Strict","ES","Slope",0.861157639968073
16,0,1000,"Auxiliary","Q","Intercept",-0.00465621321612919
16,0,1000,"Auxiliary","Q","Slope",0.955244373008566
16,0,1000,"Auxiliary","ES","Intercept",-0.343072132433151
16,0,1000,"Auxiliary","ES","Slope",0.647257950622221
16,0,1000,"Strict","Q","Intercept",-0.00463161610441798
16,0,1000,"Strict","Q","Slope",0.800874827171466
16,0,1000,"Strict","ES","Intercept",-0.345046359830105
16,0,1000,"Strict","ES","Slope",0.645853951208618
17,0,1000,"Auxiliary","Q","Intercept",0.197460673512684
17,0,1000,"Auxiliary","Q","Slope",1.18555210502552
17,0,1000,"Auxiliary","ES","Intercept",0.229646554552318
17,0,1000,"Auxiliary","ES","Slope",1.20063555478036
17,0,1000,"Strict","Q","Intercept",0.197629144230255
17,0,1000,"Strict","Q","Slope",0.99417820995899
17,0,1000,"Strict","ES","Intercept",0.231356672288712
17,0,1000,"Strict","ES","Slope",1.20189477963683
18,0,1000,"Auxiliary","Q","Intercept",-0.0602812790908225
18,0,1000,"Auxiliary","Q","Slope",1.02287070456277
18,0,1000,"Auxiliary","ES","Intercept",-0.0343888234263121
18,0,1000,"Auxiliary","ES","Slope",1.04432852495037
18,0,1000,"Strict","Q","Intercept",-0.0604196444456646
18,0,1000,"Strict","Q","Slope",0.857399623930422
18,0,1000,"Strict","ES","Intercept",-0.0342302585535534
18,0,1000,"Strict","ES","Slope",1.0443354371693
19,0,1000,"Auxiliary","Q","Intercept",-0.152947412401176
19,0,1000,"Auxiliary","Q","Slope",0.776522747041672
19,0,1000,"Auxiliary","ES","Intercept",-0.388418543886835
19,0,1000,"Auxiliary","ES","Slope",0.518533502142104
19,0,1000,"Strict","Q","Intercept",-0.152929644433967
19,0,1000,"Strict","Q","Slope",0.651045890898842
19,0,1000,"Strict","ES","Intercept",-0.392226148843445
19,0,1000,"Strict","ES","Slope",0.514618749692572
20,0,1000,"Auxiliary","Q","Intercept",0.127351344146108
20,0,1000,"Auxiliary","Q","Slope",1.14427049551539
20,0,1000,"Auxiliary","ES","Intercept",0.0409838010841832
20,0,1000,"Auxiliary","ES","Slope",1.01114165911134
20,0,1000,"Strict","Q","Intercept",0.127345325702459
20,0,1000,"Strict","Q","Slope",0.959325634298848
20,0,1000,"Strict","ES","Intercept",0.0355344990619064
20,0,1000,"Strict","ES","Slope",1.00569381460964
21,0,1000,"Auxiliary","Q","Intercept",-0.486278169210739
21,0,1000,"Auxiliary","Q","Slope",0.384901118998836
21,0,1000,"Auxiliary","ES","Intercept",-0.221967306026918
21,0,1000,"Auxiliary","ES","Slope",0.805082036530845
21,0,1000,"Strict","Q","Intercept",-0.486288681528812
21,0,1000,"Strict","Q","Slope",0.322677687832103
21,0,1000,"Strict","ES","Intercept",-0.224090579670092
