"model_index","set","tau","omega","alpha1","beta1","shape","unc_var","persistence","backtest","value","one_sided"
1,1,2.5,0.01,0.01,0.94,5,0.2,0.95,"er_pvalue_twosided_simple",0.113966666666667,FALSE
2,1,2.5,0.01,0.02,0.93,5,0.2,0.95,"er_pvalue_twosided_simple",0.0724777777777778,FALSE
3,1,2.5,0.01,0.03,0.92,5,0.2,0.95,"er_pvalue_twosided_simple",0.0598444444444445,FALSE
4,1,2.5,0.01,0.04,0.91,5,0.2,0.95,"er_pvalue_twosided_simple",0.0563444444444445,FALSE
5,1,2.5,0.01,0.05,0.9,5,0.2,0.95,"er_pvalue_twosided_simple",0.0540555555555556,FALSE
6,1,2.5,0.01,0.06,0.89,5,0.2,0.95,"er_pvalue_twosided_simple",0.0522666666666667,FALSE
7,1,2.5,0.01,0.07,0.88,5,0.2,0.95,"er_pvalue_twosided_simple",0.0512222222222222,FALSE
8,1,2.5,0.01,0.08,0.87,5,0.2,0.95,"er_pvalue_twosided_simple",0.0502666666666667,FALSE
9,1,2.5,0.01,0.09,0.86,5,0.2,0.95,"er_pvalue_twosided_simple",0.0495666666666667,FALSE
10,1,2.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.05,FALSE
11,1,2.5,0.01,0.11,0.84,5,0.2,0.95,"er_pvalue_twosided_simple",0.0483444444444445,FALSE
12,1,2.5,0.01,0.12,0.83,5,0.2,0.95,"er_pvalue_twosided_simple",0.0500333333333333,FALSE
13,1,2.5,0.01,0.13,0.82,5,0.2,0.95,"er_pvalue_twosided_simple",0.0502666666666667,FALSE
14,1,2.5,0.01,0.14,0.81,5,0.2,0.95,"er_pvalue_twosided_simple",0.0512666666666667,FALSE
15,1,2.5,0.01,0.15,0.8,5,0.2,0.95,"er_pvalue_twosided_simple",0.0525555555555556,FALSE
16,1,2.5,0.01,0.16,0.79,5,0.2,0.95,"er_pvalue_twosided_simple",0.0515666666666667,FALSE
17,1,2.5,0.01,0.17,0.78,5,0.2,0.95,"er_pvalue_twosided_simple",0.0531555555555556,FALSE
18,1,2.5,0.01,0.18,0.77,5,0.2,0.95,"er_pvalue_twosided_simple",0.0536777777777778,FALSE
19,1,2.5,0.01,0.19,0.76,5,0.2,0.95,"er_pvalue_twosided_simple",0.0580666666666667,FALSE
20,1,2.5,0.01,0.2,0.75,5,0.2,0.95,"er_pvalue_twosided_simple",0.0610777777777778,FALSE
21,2,2.5,5e-04,0.1,0.85,5,0.01,0.95,"er_pvalue_twosided_simple",0.601233333333333,FALSE
22,2,2.5,0.0025,0.1,0.85,5,0.05,0.95,"er_pvalue_twosided_simple",0.244122222222222,FALSE
23,2,2.5,0.005,0.1,0.85,5,0.1,0.95,"er_pvalue_twosided_simple",0.0906222222222222,FALSE
24,2,2.5,0.00750000000000001,0.1,0.85,5,0.15,0.95,"er_pvalue_twosided_simple",0.0539555555555556,FALSE
25,2,2.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.05,FALSE
26,2,2.5,0.0125,0.1,0.85,5,0.25,0.95,"er_pvalue_twosided_simple",0.0557,FALSE
27,2,2.5,0.015,0.1,0.85,5,0.3,0.95,"er_pvalue_twosided_simple",0.0624333333333333,FALSE
28,2,2.5,0.0175,0.1,0.85,5,0.35,0.95,"er_pvalue_twosided_simple",0.0676555555555556,FALSE
29,2,2.5,0.02,0.1,0.85,5,0.4,0.95,"er_pvalue_twosided_simple",0.0708444444444444,FALSE
30,2,2.5,0.0225,0.1,0.85,5,0.45,0.95,"er_pvalue_twosided_simple",0.0756333333333333,FALSE
31,2,2.5,0.025,0.1,0.85,5,0.5,0.95,"er_pvalue_twosided_simple",0.0768,FALSE
32,3,2.5,0.02,0.0947368421052632,0.805263157894737,5,0.2,0.9,"er_pvalue_twosided_simple",0.0542777777777778,FALSE
33,3,2.5,0.018,0.0957894736842105,0.814210526315789,5,0.2,0.91,"er_pvalue_twosided_simple",0.0513222222222222,FALSE
34,3,2.5,0.016,0.0968421052631579,0.823157894736842,5,0.2,0.92,"er_pvalue_twosided_simple",0.0505555555555556,FALSE
35,3,2.5,0.014,0.0978947368421053,0.832105263157895,5,0.2,0.93,"er_pvalue_twosided_simple",0.0505333333333333,FALSE
36,3,2.5,0.012,0.0989473684210526,0.841052631578947,5,0.2,0.94,"er_pvalue_twosided_simple",0.0514,FALSE
37,3,2.5,0.00999999999999998,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.05,FALSE
38,3,2.5,0.008,0.101052631578947,0.858947368421053,5,0.2,0.96,"er_pvalue_twosided_simple",0.0496444444444444,FALSE
39,3,2.5,0.006,0.102105263157895,0.867894736842105,5,0.2,0.97,"er_pvalue_twosided_simple",0.0472222222222222,FALSE
40,3,2.5,0.004,0.103157894736842,0.876842105263158,5,0.2,0.98,"er_pvalue_twosided_simple",0.0486666666666667,FALSE
41,3,2.5,0.002,0.104210526315789,0.885789473684211,5,0.200000000000002,0.99,"er_pvalue_twosided_simple",0.0538777777777778,FALSE
42,3,2.5,0,0.105263157894737,0.894736842105263,5,NA,1,"er_pvalue_twosided_simple",0.0756777777777778,FALSE
43,4,2.5,0.01,0.1,0.85,3,0.2,0.95,"er_pvalue_twosided_simple",0.696311111111111,FALSE
44,4,2.5,0.01,0.1,0.85,4,0.2,0.95,"er_pvalue_twosided_simple",0.178977777777778,FALSE
45,4,2.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.05,FALSE
46,4,2.5,0.01,0.1,0.85,6,0.2,0.95,"er_pvalue_twosided_simple",0.115266666666667,FALSE
47,4,2.5,0.01,0.1,0.85,7,0.2,0.95,"er_pvalue_twosided_simple",0.258344444444444,FALSE
48,4,2.5,0.01,0.1,0.85,8,0.2,0.95,"er_pvalue_twosided_simple",0.409733333333333,FALSE
49,4,2.5,0.01,0.1,0.85,9,0.2,0.95,"er_pvalue_twosided_simple",0.535366666666667,FALSE
50,4,2.5,0.01,0.1,0.85,10,0.2,0.95,"er_pvalue_twosided_simple",0.637277777777778,FALSE
51,4,2.5,0.01,0.1,0.85,12,0.2,0.95,"er_pvalue_twosided_simple",0.773677777777778,FALSE
52,4,2.5,0.01,0.1,0.85,15,0.2,0.95,"er_pvalue_twosided_simple",0.877933333333333,FALSE
53,4,2.5,0.01,0.1,0.85,20,0.2,0.95,"er_pvalue_twosided_simple",0.9383,FALSE
54,4,2.5,0.01,0.1,0.85,30,0.2,0.95,"er_pvalue_twosided_simple",0.970855555555556,FALSE
55,4,2.5,0.01,0.1,0.85,50,0.2,0.95,"er_pvalue_twosided_simple",0.985566666666667,FALSE
56,4,2.5,0.01,0.1,0.85,1e+06,0.2,0.95,"er_pvalue_twosided_simple",0.995377777777778,FALSE
57,5,0.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0536777777777778,FALSE
58,5,1,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0542333333333333,FALSE
59,5,1.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0507666666666667,FALSE
60,5,2,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0505333333333333,FALSE
61,5,2.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.05,FALSE
62,5,3,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0492,FALSE
63,5,3.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0497,FALSE
64,5,4,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0505777777777778,FALSE
65,5,4.5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0494555555555556,FALSE
66,5,5,0.01,0.1,0.85,5,0.2,0.95,"er_pvalue_twosided_simple",0.0472333333333333,FALSE
1,1,2.5,0.01,0.01,0.94,5,0.2,0.95,"er_pvalue_onesided_simple",0.16968,TRUE
2,1,2.5,0.01,0.02,0.93,5,0.2,0.95,"er_pvalue_onesided_simple",0.10234,TRUE
3,1,2.5,0.01,0.03,0.92,5,0.2,0.95,"er_pvalue_onesided_simple",0.07542,TRUE
4,1,2.5,0.01,0.04,0.91,5,0.2,0.95,"er_pvalue_onesided_simple",0.06276,TRUE
5,1,2.5,0.01,0.05,0.9,5,0.2,0.95,"er_pvalue_onesided_simple",0.05634,TRUE
6,1,2.5,0.01,0.06,0.89,5,0.2,0.95,"er_pvalue_onesided_simple",0.05082,TRUE
7,1,2.5,0.01,0.07,0.88,5,0.2,0.95,"er_pvalue_onesided_simple",0.0488,TRUE
